kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
0.049809962,1.9719943989,0.1596319264,1.2786557311,1.8867773555,7.04797682598581,100,12537.9665780676
2.1154230846,1.700740148,0.3270654131,1.3734746949,2.5619123825,1.55210963883562,100,18710.3762081414
2.2876575315,1.7607521504,1.7349469894,0.1696339268,2.4022804561,1.09246133851161,7.28608379304461,49.7187536181302
1.1228245649,0.8117623525,2.2762552511,1.2314462893,0.6529305861,1.41895122283815,100,886.694199208808
2.8331666333,0.3780756151,2.9039807962,1.8703740748,2.5559111822,1.38033359480133,100,19197.7744489948
2.2360472094,0.550910182,2.8277655531,0.5437087417,1.2824564913,1.4321403239683,100,1662.43437248731
0.3960792158,0.1708341668,1.6851370274,1.5931186237,0.7093418684,2.36904039794014,100,2315.92579584165
1.4960992198,1.1166233247,0.375675135,1.2930586117,2.3122624525,1.25147273016776,100,1099.16250668912
0.4932986597,1.6763352671,0.3702740548,0.7617523505,2.9963992799,1.3213254998108,100,29579.9245047791
0.2538507702,0.7821564313,0.174634927,1.1690338068,0.7621524305,1.51600973408517,100,11800.6889842127
1.3310662132,1.2110422084,0.9799959992,0.6601320264,2.8589717944,1.19239370662862,45.5102862955724,62.0537752800745
2.0098019604,1.9707941588,1.0400080016,1.4146829366,1.1906381276,1.29796286302916,100,3074.08060380836
1.3784756951,0.8469693939,0.2286457291,1.1414282857,1.6551310262,1.28877139639928,100,1799.66893701534
1.7871574315,0.8573714743,2.0110022004,0.8521704341,2.0884176835,1.2714620026068,100,15700.1496088651
1.9197839568,1.4930986197,0.8221644329,1.4114822965,2.7941588318,1.3047881819908,100,8403.42612404813
1.7649529906,1.050210042,0.6727345469,1.5539107822,0.4140828166,1.63510401626687,100,2286.43831603605
1.025605121,0.0048009602,1.5465093019,1.3202640528,1.4654930986,5.04052897060719,100,15.9340949810933
1.6137227445,1.2626525305,2.0578115623,1.7443488698,2.9639927986,1.35307045385089,100,35664.7637555744
2.4802960592,1.0090018004,1.8843768754,0.650930186,0.4236847369,1.54277264951936,100,4935.15216403478
0.5005001,1.4554910982,0.4452890578,1.7799559912,2.0062012402,1.29071746766028,100,16543.7620214806
0.7573514703,0.5265053011,1.5411082216,0.6161232246,0.8683736747,1.52820898366464,100,1729.56171220995
2.773754751,0.5181036207,1.1690338068,1.2146429286,2.9879975995,1.38623297021056,48.5716177154328,62.4574675240928
2.0092018404,0.4228845769,1.548909782,1.5523104621,1.1768353671,1.55148407295366,100,23183.6233737781
1.0598119624,0.6781356271,0.6343268654,1.5639127826,2.0056011202,1.32506427298987,100,648.425566374749
0.9319863973,1.9035807161,2.75095019,0.5813162633,1.3142628526,5.63539460678382,100,4850.22541087814
2.2222444489,1.6199239848,2.7665533107,0.7469493899,0.0210042008,1.63143004834599,100,69.5720820932214
1.300460092,0.7885577115,2.551110222,1.2578515703,0.9523904781,1.33468575067367,100,708.543743810516
2.4898979796,1.1318263653,1.5171034207,0.5297059412,2.7473494699,1.17127301382415,17.8579531647948,51.3242809245507
0.7075415083,0.1784356871,1.6023204641,1.199839968,0.6205241048,2.46210000320432,49.9761763855241,2150.14905982997
1.2200440088,0.1896379276,1.9605921184,1.6703340668,0.0840168034,4.02471731036267,100,638.076881715607
0.8275655131,1.199439888,2.9897979596,0.3068613723,1.2836567313,1.22262979143618,100,2296.27416849866
2.5169033807,1.4894978996,0.3564712943,0.8353670734,1.3910782156,1.26739272348659,100,5453.4012197153
2.1874374875,1.0614122825,0.3774754951,1.4658931786,0.0588117624,2.70010523924383,100,2690.592360651
1.7211442288,1.5939187838,1.1858371674,1.9379875975,0.0348069614,2.50429955728621,100,2170.20983696105
1.424684937,0.7677535507,2.3962792559,1.7555511102,0.24964993,1.95103786255428,100,1566.4377074917
0.175835167,1.7407481496,2.7161432286,1.9435887177,1.7667533507,5.79733334967302,100,10903.1957187726
2.9771954391,0.299259852,1.50090018,1.3726745349,2.1730346069,1.51143602473039,100,94.4484379664528
1.8021604321,1.3834766953,0.0036007201,0.574114823,1.0094018804,1.32301255911969,49.6925123031977,9288.97193952558
1.6323264653,0.9873974795,0.2304460892,0.8209641928,0.3654730946,1.58582839176414,100,2188.73277650262
2.3668733747,1.5979195839,0.9301860372,1.6399279856,0.2148429686,1.67504570676907,100,2201.39298718744
2.9945989198,0.9861972394,1.0832166433,1.2446489298,0.0114022805,3.08515884552155,100,147.571422704409
0.3774754951,0.5325065013,0.5221044209,1.525905181,2.7089417884,1.35474172131451,100,24841.1798771617
1.5549109822,0.1052210442,2.0284056811,0.2688537708,1.3652730546,2.41496536403076,29.5237080155224,49.617295589133
2.9663932787,1.5639127826,1.0574114823,0.8981796359,1.4696939388,1.26543403419569,100,967.103337527536
1.0382076415,0.6461292258,1.4924984997,1.7895579116,0.4074814963,1.89936149953927,100,8348.1511731974
0.7135427085,0.5017003401,1.6377275455,0.0140028006,2.9825965193,1.22582490783009,100,70.2622541139191
1.1558311662,0.5777155431,2.1970394079,1.2558511702,2.7425485097,1.29533321360727,49.5363943150349,1804.2589315004
1.1330266053,0.4836967393,0.8461692338,1.425485097,2.7371474295,1.38620935376375,100,1718.39292047801
0.8845769154,1.7727545509,0.0834166833,0.6845369074,2.5349069814,1.35624092133134,100,22111.5024634017
